Label,p1_sets,p2_sets,p1_games,p2_games,p2_double_fault,p1_unf_err,p2_unf_err,rally_count,speed_mph,return_depth_D,return_depth_ND,distance_diff,p2_distance_run,p1_distance_run
0,0,0,2,1,0,0,0,5,118.0,1,0,-8.716,15.17,23.886
0,0,0,6,6,0,0,0,1,106.0,0,0,-0.5460000000000003,2.078,2.624
0,0,2,3,2,0,0,0,1,121.0,0,0,1.303,6.303,5.0
0,0,0,2,1,0,0,1,2,111.0,0,1,-0.5259999999999998,7.377,7.903
1,1,0,4,4,0,0,0,1,124.0,0,1,-2.236,2.594,4.83
0,0,0,0,0,0,0,0,1,119.0,1,0,3.8240000000000003,6.793,2.969
1,0,0,1,1,1,0,1,0,116.5410447761194,0,0,0.018999999999999684,3.929,3.91
0,0,0,4,2,0,0,0,2,115.0,0,1,3.569,10.507,6.938
1,1,1,4,5,0,0,1,4,118.0,1,0,-0.9420000000000002,13.513,14.455
1,2,2,0,0,1,0,1,0,116.5410447761194,0,0,0.0,0.0,0.0
0,0,0,0,0,0,0,0,3,119.0,1,0,-6.506,8.977,15.483
1,0,0,2,2,0,0,0,5,120.0,0,1,-8.41,15.383,23.793
1,0,0,4,4,0,0,0,4,131.0,0,1,-2.882999999999999,15.529,18.412
0,1,0,3,3,0,0,1,2,92.0,0,1,-0.6780000000000008,5.754,6.432
0,2,1,3,2,0,0,0,1,123.0,0,1,-1.3650000000000002,3.048,4.413
1,0,0,1,1,0,0,0,13,124.0,0,1,-5.7890000000000015,47.626,53.415
1,0,0,4,4,0,0,0,8,119.0,0,1,-9.485000000000003,25.029,34.514
0,1,0,0,2,0,0,1,2,86.0,1,0,-2.306,6.556,8.862
1,1,1,1,0,0,0,0,10,80.0,0,1,2.0009999999999977,38.695,36.694
0,0,0,2,1,0,0,0,10,123.0,1,0,1.3729999999999976,43.695,42.322
1,1,0,1,1,0,0,0,14,123.0,1,0,-77.86300000000001,70.86,148.723
0,1,0,1,1,0,0,1,2,101.0,0,1,-2.0519999999999996,7.449,9.501
0,2,0,3,2,0,0,0,4,97.0,1,0,0.7309999999999999,12.76,12.029
1,0,0,0,0,0,0,0,5,119.0,1,0,-4.384999999999998,18.55,22.935
0,0,0,0,0,0,0,0,12,124.0,1,0,-3.847999999999999,40.094,43.942
0,0,0,0,0,0,0,0,1,111.0,1,0,-1.3199999999999994,4.341,5.661
1,0,1,1,0,0,0,1,4,116.0,0,1,-9.378,14.041,23.419
1,1,1,0,0,0,0,1,4,83.0,0,1,-0.6060000000000016,16.764,17.37
0,2,1,2,1,0,0,0,10,95.0,0,1,-1.7180000000000035,34.032,35.75
0,2,1,2,3,0,1,0,3,113.0,1,0,-15.128,9.023,24.151
1,2,2,0,0,0,0,0,5,97.0,1,0,-9.078000000000001,15.65,24.728
